,city,month,temperature_2m_mean_max,temperature_2m_mean_mean,temperature_2m_mean_min,temperature_2m_mean_std,precipitation_sum_max,precipitation_sum_mean,precipitation_sum_min,precipitation_sum_std,wind_speed_10m_max_max,wind_speed_10m_max_mean,wind_speed_10m_max_min,wind_speed_10m_max_std
0,London,2010-01-01,6.6,1.3548387096774193,-3.0,2.733476261670893,9.4,1.4806451612903229,0.0,2.2441656734502633,29.6,18.164516129032258,9.2,4.811829062293379
1,London,2010-02-01,7.2,3.1464285714285714,0.2,2.301124063946131,11.4,2.757142857142857,0.0,3.6407598485937354,38.3,20.29285714285714,10.2,6.068493532715822
2,London,2010-03-01,11.2,6.15483870967742,-0.3,3.1991497526350567,8.1,1.3548387096774193,0.0,2.186906294239638,31.6,20.89032258064516,12.6,5.073155154911631
3,London,2010-04-01,13.8,9.120000000000001,5.0,2.2623454414725717,6.3,0.7300000000000001,0.0,1.486989553101999,29.9,17.76,7.9,5.974347461121332
4,London,2010-05-01,18.9,11.103225806451615,6.4,3.5003317815094563,10.7,1.0774193548387097,0.0,2.428402722973732,30.9,17.306451612903224,7.6,5.9385708428808
5,London,2010-06-01,21.2,16.153333333333332,11.7,2.9425221803087904,11.4,1.2233333333333334,0.0,2.3907412403187682,26.0,15.889999999999999,8.8,4.782752778257625
6,London,2010-07-01,21.3,18.629032258064516,16.4,1.3757891186241922,5.7,0.7741935483870969,0.0,1.3937880618265899,34.8,18.783870967741933,12.9,5.371039426044928
7,London,2010-08-01,19.8,16.241935483870968,12.3,1.7964361373839384,27.5,3.770967741935484,0.0,6.314913224444027,32.5,19.93225806451613,8.7,5.527952429653871
8,London,2010-09-01,16.9,13.983333333333333,9.9,1.7172719611365426,10.2,1.2799999999999998,0.0,2.5330096586934845,31.9,19.12333333333333,8.8,6.804140896052442
9,London,2010-10-01,15.5,10.858064516129037,4.5,3.1781309175413557,15.6,2.2064516129032254,0.0,3.8684997508828474,31.1,20.38387096774193,12.6,5.120097445309256
10,London,2010-11-01,14.9,5.786666666666665,-2.5,4.795956150998344,13.4,1.7833333333333334,0.0,3.185536638960683,39.8,21.189999999999998,7.7,8.149649876126475
11,London,2010-12-01,5.4,-0.06129032258064506,-6.3,3.094153348855961,5.9,0.9483870967741935,0.0,1.7585734687983017,29.9,17.52903225806451,6.9,5.931621113343136
12,London,2011-01-01,11.3,4.348387096774193,-0.2,3.1658459604284745,16.2,2.3806451612903228,0.0,4.06074043780513,33.7,20.39354838709677,8.8,6.822606319380249
13,London,2011-02-01,10.8,6.653571428571428,2.2,2.2173527998840057,6.7,1.417857142857143,0.0,2.198493351337005,42.9,22.378571428571426,11.5,8.692455525844412
14,London,2011-03-01,12.4,6.564516129032259,2.1,2.687321887071063,5.0,0.31935483870967746,0.0,0.959659437800275,37.8,16.92258064516129,7.8,6.56407950781724
15,London,2011-04-01,17.7,12.3,7.2,2.58856903619981,1.4,0.11,0.0,0.31660919018617384,27.9,17.269999999999996,7.1,6.411689217412963
16,London,2011-05-01,17.9,13.4,9.4,1.7998148052878478,6.9,0.5741935483870968,0.0,1.5242413942538726,39.1,22.28709677419355,8.8,6.236598535285287
17,London,2011-06-01,22.9,15.020000000000001,11.4,2.4876799882898784,10.2,2.506666666666667,0.0,3.4031358088288712,30.3,20.88666666666666,13.2,5.360952908947627
18,London,2011-07-01,18.1,15.829032258064514,14.3,1.0764737335043209,8.2,1.532258064516129,0.0,2.2365728390812865,30.9,17.18387096774193,9.2,6.520587743150843
19,London,2011-08-01,21.6,16.416129032258066,13.3,1.9817663458294892,25.7,2.4032258064516125,0.0,5.514253281026529,29.8,17.822580645161295,8.4,5.361760263036717
20,London,2011-09-01,18.8,15.573333333333334,11.8,1.8322651015338505,8.0,0.9766666666666667,0.0,2.0116356928926122,38.4,20.749999999999996,8.6,7.562692003832205
21,London,2011-10-01,18.4,13.170967741935483,6.8,3.144539558068568,3.2,0.5806451612903226,0.0,0.997804040493827,36.3,21.248387096774195,9.1,7.060588784123788
22,London,2011-11-01,14.6,10.173333333333336,6.2,1.9355001729631103,12.6,0.7933333333333332,0.0,2.4047271453697534,36.6,20.153333333333332,11.2,6.611366040353555
23,London,2011-12-01,10.8,6.103225806451613,0.5,2.735017839182253,8.4,1.9483870967741934,0.0,2.5915080510186774,43.2,26.061290322580653,13.3,7.188077045559767
24,London,2012-01-01,10.7,5.593548387096772,-0.5,3.304939281728785,11.5,1.293548387096774,0.0,2.8203942376756443,46.2,22.11290322580645,9.7,9.22943631126278
